Штрих-код;Артикул;Наименование;Бренд;ЦенаОпт;ЦенаРозн;Страна-производитель;Размер;Качественный Состав;Цвет;Цвет для фильтра;Пол;Сезон;Сезон для фильтра;Стиль;Изображение;Бок;Спина;Доп картинка;alt картинки;Что с чем;Старая цена;Sale,%;Новинка;Архивный;Luxe;Опубликован;В наличии;Описание товара;Теги;Категории Sale;Категории акций и подарков;Категории А;Категории Б;Категории В;Категории Г;Категории Д
;6890/1015;Юбка вязанная Джанни Мода;Gianni Moda;2720;2158;Италия;Б/Р;30%мохер, 30%полиэстер, 25%акрил, 15%хлопок;Бежевый;бежевый;ж;;"Зима;Лето;Демисезон";"Повседневный;Романтический";;;;;;;5395;60;1;0;0;1;1;Юбка вязанная,удлиненная на резинке.;"удлиненные;hand-made";SALE 60%;;"Женская одежда;Юбки";;;;
;6890/1015;Юбка вязанная Джанни Мода;;2720;2158;;Б/Р;;Бордовый;бордовый;;;;;;;;;;;5395;60;;;;1;1;Юбка вязанная,удлиненная на резинке.;;;;;;;;
;6890/1015;Юбка вязанная Джанни Мода;;2720;2158;;Б/Р;;Коричневый;коричневый;;;;;;;;;;;5395;60;;;;1;1;Юбка вязанная,удлиненная на резинке.;;;;;;;;
;6890/1015;Юбка вязанная Джанни Мода;;2720;2158;;Б/Р;;Серый;серый;;;;;;;;;;;5395;60;;;;1;1;Юбка вязанная,удлиненная на резинке.;;;;;;;;
;6890/1015;Юбка вязанная Джанни Мода;;2720;2158;;Б/Р;;Синий;синий;;;;;;;;;;;5395;60;;;;1;1;Юбка вязанная,удлиненная на резинке.;;;;;;;;
